股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
603335,迪生力,汽车,汽车零部件,2025-04-08,2025-04-15,3.69,4.35,0.1789,0.0610661355034438
603717,天域生物,建筑装饰,基础建设,2025-04-08,2025-04-15,7.22,7.18,-0.0055,-0.123333864496556
002795,永和智控,机械设备,通用设备,2025-04-08,2025-04-15,4.05,4.7,0.1605,0.0426661355034438
688178,万德斯,环保,环境治理,2025-03-31,2025-04-15,19,19.5,0.0263,0.0238628785868789
002778,中晟高科,环保,环境治理,2025-04-08,2025-04-15,15.23,16.81,0.1037,-0.0141338644965562
603716,塞力医疗,医药生物,医药商业,2025-03-24,2025-04-08,11.21,9,-0.1971,-0.0754183411935948
603900,莱绅通灵,纺织服饰,饰品,2025-03-17,2025-04-08,6.46,5.5,-0.1485,0.0139625694156938
600421,华嵘控股,机械设备,通用设备,2025-03-31,2025-04-08,6.7,5.29,-0.2104,-0.107167536976162
600892,大晟文化,传媒,游戏,2025-03-24,2025-04-08,3.65,2.79,-0.2356,-0.113918341193595
600302,标准股份,机械设备,专用设备,2025-03-03,2025-04-08,5.34,4.43,-0.1704,-0.0735236760270633
002713,东易日盛,建筑装饰,装修装饰,2025-03-31,2025-04-08,3.67,3.02,-0.1774,-0.0741675369761616
600243,青海华鼎,机械设备,通用设备,2025-03-24,2025-04-08,3.57,2.37,-0.3361,-0.214418341193595
002696,百洋股份,农林牧渔,饲料,2025-03-24,2025-03-31,5.51,5.13,-0.069,-0.0484270030728629
000757,浩物股份,汽车,汽车服务,2025-03-24,2025-03-31,4.04,3.82,-0.0545,-0.0339270030728629
002591,恒大高新,基础化工,化学制品,2025-03-24,2025-03-31,5.35,4.99,-0.0673,-0.0467270030728629
002789,建艺集团,建筑装饰,装修装饰,2025-03-24,2025-03-31,9.36,7.2,-0.2308,-0.210227003072863
605069,正和生态,环保,环境治理,2025-03-10,2025-03-24,9.43,10.67,0.1315,0.144571874116705
002760,凤形股份,机械设备,通用设备,2025-03-17,2025-03-24,21.57,19.32,-0.1043,-0.0578693282302755
600358,国旅联合,传媒,广告营销,2025-03-10,2025-03-24,4.29,3.6,-0.1608,-0.147728125883295
002842,翔鹭钨业,有色金属,小金属,2025-03-17,2025-03-24,7.62,7.15,-0.0617,-0.0152693282302755
688096,京源环保,环保,环境治理,2025-03-10,2025-03-24,10.16,9.71,-0.0448,-0.0317281258832953
002114,罗平锌电,有色金属,工业金属,2025-03-17,2025-03-24,7.31,6.9,-0.0561,-0.00966932823027551
605303,园林股份,建筑装饰,基础建设,2025-03-17,2025-03-24,10.52,9.92,-0.057,-0.0105693282302755
002910,庄园牧场,食品饮料,饮料乳品,2025-03-10,2025-03-24,9.3,8.81,-0.0527,-0.0396281258832953
600281,华阳新材,有色金属,小金属,2025-03-10,2025-03-17,4.19,3.98,-0.0501,-0.0850830858286204
603716,塞力医疗,医药生物,医药商业,2025-02-24,2025-03-17,10.29,12.79,0.243,0.175821741656475
603810,丰山集团,基础化工,农化制品,2025-03-10,2025-03-17,13.58,12.64,-0.0692,-0.10418308582862
603316,诚邦股份,建筑装饰,基础建设,2025-03-03,2025-03-17,5.9,6.46,0.0949,0.0165915650002637
600355,精伦电子,通信,通信设备,2025-01-24,2025-03-17,2.8,4.1,0.4643,0.275425506762218
002858,力盛体育,社会服务,体育,2025-03-03,2025-03-10,11.91,12.33,0.0353,-0.00656092484441795
002207,准油股份,石油石化,油服工程,2025-03-03,2025-03-10,5.54,5.79,0.0451,0.00323907515558206
002529,海源复材,机械设备,专用设备,2025-03-03,2025-03-10,7.63,8.03,0.0524,0.0105390751555821
