股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
300093,金刚光伏,电力设备,光伏设备,2025-04-08,2025-04-22,7,7.95,0.1358,0.00774897172387176
600355,精伦电子,通信,通信设备,2025-04-15,2025-04-22,3.22,3.14,-0.0248,-0.033940145154015
002858,力盛体育,社会服务,体育,2025-04-15,2025-04-22,11.09,11.19,0.009,-0.000140145154014957
002306,中科云网,社会服务,酒店餐饮,2025-03-31,2025-04-22,2.3,1.87,-0.187,-0.19859954221061
603717,天域生物,建筑装饰,基础建设,2025-04-08,2025-04-15,7.22,7.18,-0.0055,-0.123333864496556
300780,德恩精工,机械设备,通用设备,2025-03-31,2025-04-15,15.23,13.96,-0.0834,-0.0858371214131211
300713,英可瑞,电力设备,其他电源设备,2025-04-08,2025-04-15,12.78,14.18,0.1095,-0.0083338644965562
002795,永和智控,机械设备,通用设备,2025-04-08,2025-04-15,4.05,4.7,0.1605,0.0426661355034438
300157,新锦动力,机械设备,通用设备,2025-04-08,2025-04-15,2.55,2.79,0.0941,-0.0237338644965562
300591,万里马,纺织服饰,服装家纺,2025-04-08,2025-04-15,3.79,4.26,0.124,0.0061661355034438
300237,美晨科技,汽车,汽车零部件,2025-04-08,2025-04-15,1.27,1.41,0.1102,-0.00763386449655619
603900,莱绅通灵,纺织服饰,饰品,2025-03-17,2025-04-08,6.46,5.5,-0.1485,0.0139625694156938
600302,标准股份,机械设备,专用设备,2025-03-31,2025-04-08,5.41,4.43,-0.1811,-0.0778675369761616
002713,东易日盛,建筑装饰,装修装饰,2025-03-31,2025-04-08,3.67,3.02,-0.1774,-0.0741675369761616
600243,青海华鼎,机械设备,通用设备,2025-03-24,2025-04-08,3.57,2.37,-0.3361,-0.214418341193595
603716,塞力医疗,医药生物,医药商业,2025-03-24,2025-04-08,11.21,9,-0.1971,-0.0754183411935948
300391,长药控股,医药生物,中药,2025-03-31,2025-04-08,5.5,4.29,-0.22,-0.116767536976162
600421,华嵘控股,机械设备,通用设备,2025-03-31,2025-04-08,6.7,5.29,-0.2104,-0.107167536976162
002696,百洋股份,农林牧渔,饲料,2025-03-24,2025-03-31,5.51,5.13,-0.069,-0.0484270030728629
300591,万里马,纺织服饰,服装家纺,2025-03-24,2025-03-31,4.79,4.87,0.0167,0.0372729969271371
600892,大晟文化,传媒,游戏,2025-03-24,2025-03-31,3.65,3.1,-0.1507,-0.130127003072863
300106,西部牧业,食品饮料,饮料乳品,2025-03-17,2025-03-31,11.15,9.36,-0.1605,-0.0944515493707819
002789,建艺集团,建筑装饰,装修装饰,2025-03-24,2025-03-31,9.36,7.2,-0.2308,-0.210227003072863
000757,浩物股份,汽车,汽车服务,2025-03-24,2025-03-31,4.04,3.82,-0.0545,-0.0339270030728629
002910,庄园牧场,食品饮料,饮料乳品,2025-03-10,2025-03-24,9.3,8.81,-0.0527,-0.0396281258832953
002760,凤形股份,机械设备,通用设备,2025-03-17,2025-03-24,21.57,19.32,-0.1043,-0.0578693282302755
002842,翔鹭钨业,有色金属,小金属,2025-03-17,2025-03-24,7.62,7.15,-0.0617,-0.0152693282302755
002114,罗平锌电,有色金属,工业金属,2025-03-17,2025-03-24,7.31,6.9,-0.0561,-0.00966932823027551
605069,正和生态,环保,环境治理,2025-03-10,2025-03-24,9.43,10.67,0.1315,0.144571874116705
605303,园林股份,建筑装饰,基础建设,2025-03-17,2025-03-24,10.52,9.92,-0.057,-0.0105693282302755
300329,海伦钢琴,轻工制造,文娱用品,2025-03-17,2025-03-24,6.91,6.45,-0.0666,-0.0201693282302755
301037,保立佳,基础化工,化学制品,2025-03-10,2025-03-17,12.89,12.61,-0.0217,-0.0566830858286204
600302,标准股份,机械设备,专用设备,2025-03-03,2025-03-17,5.34,5.86,0.0974,0.0190915650002637
300961,深水海纳,环保,环境治理,2025-02-17,2025-03-17,10.41,17.24,0.6561,0.569673550409573
600355,精伦电子,通信,通信设备,2025-01-24,2025-03-17,2.8,4.1,0.4643,0.275425506762218
688096,京源环保,环保,环境治理,2025-03-10,2025-03-17,10.16,10.47,0.0301,-0.00488308582862042
603316,诚邦股份,建筑装饰,基础建设,2025-03-03,2025-03-17,5.9,6.46,0.0949,0.0165915650002637
300391,长药控股,医药生物,中药,2025-03-03,2025-03-17,5.58,5.73,0.0269,-0.0514084349997363
300106,西部牧业,食品饮料,饮料乳品,2025-03-03,2025-03-10,9.25,9.07,-0.0195,-0.061360924844418
300591,万里马,纺织服饰,服装家纺,2025-03-03,2025-03-10,4.47,4.82,0.0783,0.0364390751555821
002529,海源复材,机械设备,专用设备,2025-03-03,2025-03-10,7.63,8.03,0.0524,0.0105390751555821
002114,罗平锌电,有色金属,工业金属,2025-03-03,2025-03-10,6.46,7.83,0.2121,0.170239075155582
300103,达刚控股,机械设备,专用设备,2025-03-03,2025-03-10,6.86,7.09,0.0335,-0.00836092484441794
300246,宝莱特,医药生物,医疗器械,2025-02-24,2025-03-03,7.6,7.15,-0.0589,-0.0485781140766895
600358,国旅联合,传媒,广告营销,2025-02-24,2025-03-03,3.72,3.81,0.0242,0.0345218859233105
600421,华嵘控股,机械设备,通用设备,2025-02-24,2025-03-03,7.25,6.86,-0.0538,-0.0434781140766895
600892,大晟文化,传媒,游戏,2025-02-24,2025-03-03,3.59,3.43,-0.0446,-0.0342781140766895
603716,塞力医疗,医药生物,医药商业,2025-02-24,2025-03-03,10.29,10.01,-0.0272,-0.0168781140766895
600193,创兴资源,建筑装饰,装修装饰,2025-02-24,2025-03-03,3.95,3.86,-0.0228,-0.0124781140766895
002211,宏达新材,基础化工,化学制品,2025-02-24,2025-03-03,4.11,4.03,-0.0195,-0.00917811407668949
