股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
600149,廊坊发展,公用事业,电力,2023-02-28,2023-03-14,6.41,6.02,-0.0608,-0.0491748738761611
002058,威尔泰,机械设备,通用设备,2023-03-07,2023-03-14,12.67,12.2,-0.0371,-0.0341951158298024
000679,大连友谊,商贸零售,一般零售,2023-03-07,2023-03-14,5.83,5.33,-0.0858,-0.0828951158298024
002633,申科股份,机械设备,通用设备,2023-02-28,2023-03-14,11.03,9.97,-0.0961,-0.0844748738761611
002898,赛隆药业,医药生物,化学制药,2023-02-21,2023-03-07,12.14,11.65,-0.0403,-0.0387385417144662
603580,艾艾精工,基础化工,塑料,2023-02-14,2023-03-07,18.42,16.83,-0.0866,-0.074370385349073
002629,仁智股份,石油石化,油服工程,2023-02-28,2023-03-07,4.41,4.43,0.0045,0.0132456470453012
600543,莫高股份,食品饮料,非白酒,2023-02-14,2023-02-28,5.98,5.81,-0.0284,-0.0248852940163734
002159,三特索道,社会服务,旅游及景区,2023-02-14,2023-02-28,13.66,14.02,0.0262,0.0297147059836266
603838,四通股份,轻工制造,家居用品,2023-02-21,2023-02-28,6.27,6.2,-0.0111,-0.0183475734793527
002289,宇顺电子,电子,光学光电子,2023-02-14,2023-02-21,9.32,8.8,-0.0558,-0.0451151597021942
002199,东晶电子,电子,元件,2023-01-31,2023-02-21,7.63,7.69,0.0079,-0.0465067358421159
603789,星光农机,机械设备,专用设备,2023-01-31,2023-02-14,9.07,9.46,0.043,-0.0227945807274558
600898,国美通讯,电子,消费电子,2023-02-07,2023-02-14,6.39,6.11,-0.0438,-0.0661635862371545
002816,和科达,机械设备,专用设备,2023-02-07,2023-02-14,14.87,14.72,-0.0101,-0.0324635862371545
002058,威尔泰,机械设备,通用设备,2023-02-07,2023-02-14,13.22,12.9,-0.0242,-0.0465635862371545
603133,碳元科技,电子,消费电子,2023-02-07,2023-02-14,11.92,12.07,0.0126,-0.00976358623715451
603389,亚振家居,轻工制造,家居用品,2023-01-31,2023-02-07,5.69,5.7,0.0018,-0.0406809677055797
000622,恒立实业,综合,综合,2023-01-31,2023-02-07,4.59,5.06,0.1024,0.0599190322944203
600421,华嵘控股,机械设备,通用设备,2023-01-31,2023-02-07,11.88,11.7,-0.0152,-0.0576809677055797
000953,河化股份,医药生物,化学制药,2023-01-31,2023-02-07,6.49,6.47,-0.0031,-0.0455809677055797
002207,准油股份,石油石化,油服工程,2023-01-31,2023-02-07,7.49,7.53,0.0053,-0.0371809677055797
600615,丰华股份,有色金属,工业金属,2023-01-31,2023-02-07,7.88,7.94,0.0085,-0.0339809677055797
002629,仁智股份,石油石化,油服工程,2023-01-31,2023-02-07,4.39,4.41,0.0046,-0.0378809677055797
000679,大连友谊,商贸零售,一般零售,2022-04-18,2022-05-12,4.88,4.2,-0.1393,-0.0714982516620312
002248,华东数控,机械设备,通用设备,2022-04-25,2022-05-05,6,6.25,0.0417,0.0331605178030964
002417,深南股份,计算机,IT服务,2022-04-11,2022-05-05,5.38,2.49,-0.5372,-0.420385840598638
600543,莫高股份,食品饮料,非白酒,2022-04-11,2022-05-05,6.16,5.54,-0.1006,0.0162141594013623
300526,中潜股份,纺织服饰,服装家纺,2022-04-11,2022-05-05,10.83,5.55,-0.4875,-0.370685840598638
600892,大晟文化,传媒,游戏,2022-04-18,2022-05-05,3.57,4.46,0.2493,0.359628950344496
300309,吉艾科技,非银金融,多元金融,2022-02-24,2022-05-05,2.5,1.17,-0.532,-0.384112235378338
002898,赛隆药业,医药生物,化学制药,2022-03-03,2022-05-05,11.85,11.38,-0.0396,0.139541921285317
002207,准油股份,石油石化,油服工程,2022-03-17,2022-05-05,8.75,6.73,-0.2309,-0.104537762759735
000953,河化股份,基础化工,农化制品,2022-04-25,2022-05-05,5.68,5.74,0.0106,0.00206051780309641
600149,廊坊发展,公用事业,电力,2022-03-24,2022-04-25,5.76,4.77,-0.1719,-0.0135071647583591
002816,和 科 达,机械设备,专用设备,2022-04-11,2022-04-25,19.01,17.5,-0.0794,0.044892250140974
000014,沙河股份,房地产,房地产开发,2022-03-24,2022-04-18,7.79,8.56,0.0977,0.143646190463017
002248,华东数控,机械设备,通用设备,2022-03-31,2022-04-18,7.54,7.56,0.0027,0.0564727745084474
603963,大理药业,医药生物,中药,2022-03-17,2022-04-11,10.4,14.2,0.3654,0.376210949859013
000978,桂林旅游,社会服务,旅游及景区,2022-02-10,2022-04-11,6.56,6.3,-0.0396,-0.0233000515390815
600355,精伦电子,通信,通信设备,2022-01-27,2022-04-11,3.31,3.25,-0.0181,-0.0839755163905145
000995,皇台酒业,食品饮料,白酒,2022-03-31,2022-04-11,13.22,15.09,0.1415,0.188324654316154
002816,和 科 达,机械设备,专用设备,2022-01-27,2022-03-31,15.54,21.55,0.3867,0.268463443403152
002858,力盛赛车,社会服务,体育,2022-03-24,2022-03-31,13.3,13.08,-0.0165,-0.024771357909158
002417,深南股份,计算机,IT服务,2022-02-17,2022-03-24,6.18,5.13,-0.1699,-0.185758069610606
600543,莫高股份,食品饮料,非白酒,2022-03-17,2022-03-24,6.9,6.38,-0.0754,-0.104669418747004
002629,仁智股份,石油石化,油服工程,2022-03-10,2022-03-24,4.35,4.24,-0.0253,-0.0342474353149135
603099,长 白 山,社会服务,旅游及景区,2022-03-10,2022-03-17,9.21,8.93,-0.0302,-0.0104559144749191
000014,沙河股份,房地产,房地产开发,2022-03-10,2022-03-17,6.88,7.12,0.035,0.0547440855250809
000017,深中华Ａ,汽车,摩托车及其他,2022-03-10,2022-03-17,3.59,3.4,-0.0529,-0.0331559144749191
000953,河化股份,基础化工,农化制品,2022-02-10,2022-03-10,5.67,10.52,0.8554,0.840918988584719
000430,张 家 界,社会服务,旅游及景区,2022-02-24,2022-03-10,5.29,5.36,0.0132,0.018193467632749
000633,合金投资,有色金属,金属新材料,2022-03-03,2022-03-10,6.74,6.5,-0.0356,0.00588876573178184
002858,力盛赛车,社会服务,体育,2022-03-03,2022-03-10,14.28,13.5,-0.0546,-0.0131112342682182
600212,江泉实业,综合,综合,2022-02-24,2022-03-03,4.78,5.87,0.228,0.189925017887876
000014,沙河股份,房地产,房地产开发,2022-02-17,2022-03-03,6.94,7.12,0.0266,-0.0238304114356171
600543,莫高股份,食品饮料,非白酒,2022-02-24,2022-03-03,6.3,6.7,0.0635,0.0254250178878756
600421,华嵘控股,机械设备,通用设备,2022-02-17,2022-02-24,11.51,10.45,-0.0921,-0.104002251317485
002858,力盛赛车,社会服务,体育,2022-02-17,2022-02-24,14.83,15.26,0.029,0.0170977486825147
002898,赛隆药业,医药生物,化学制药,2022-02-10,2022-02-24,11.94,10.97,-0.0819,-0.101472212256434
002633,申科股份,机械设备,通用设备,2022-02-10,2022-02-24,8.71,8.72,0.0011,-0.0184722122564335
600149,廊坊发展,公用事业,电力,2022-01-27,2022-02-17,5.09,5.3,0.0413,-0.050450050465474
002207,准油股份,石油石化,油服工程,2022-02-10,2022-02-17,6.39,6.29,-0.0156,-0.0231797449101056
002629,仁智股份,石油石化,油服工程,2022-02-10,2022-02-17,3.65,3.5,-0.0411,-0.0486797449101056
300309,吉艾科技,非银金融,多元金融,2022-02-10,2022-02-17,2.71,2.51,-0.0738,-0.0813797449101056
002289,宇顺电子,电子,光学光电子,2022-01-27,2022-02-10,6.53,7.12,0.0904,0.00686288447086843
600421,华嵘控股,机械设备,通用设备,2022-01-27,2022-02-10,10.09,10.56,0.0466,-0.0369371155291316
688309,恒誉环保,环保,环保设备,2022-01-27,2022-02-10,14.93,15.8,0.058,-0.0255371155291316
000613,大东海Ａ,社会服务,酒店餐饮,2021-03-22,2021-05-28,5.04,3.45,-0.3155,-0.365481701851286
600766,园城黄金,有色金属,贵金属,2021-03-22,2021-05-14,5.09,3.64,-0.2849,-0.31463554923238
000007,全 新 好,商贸零售,一般零售,2021-02-08,2021-05-14,2.56,3.8,0.4844,0.230542920681955
002862,实丰文化,轻工制造,文娱用品,2021-04-06,2021-05-07,7.31,7.85,0.0741,0.085089252947528
300312,邦讯技术,通信,通信服务,2021-02-01,2021-05-07,3.4,2.87,-0.1559,-0.28950850992824
603032,德新交运,交通运输,铁路公路,2021-03-22,2021-05-07,8.83,8.09,-0.0839,-0.0727550072653017
002464,众应互联,传媒,数字媒体,2021-03-22,2021-05-07,3.23,1.92,-0.4056,-0.394455007265302
600543,莫高股份,食品饮料,非白酒,2021-04-20,2021-05-07,7.59,7.01,-0.0764,-0.0381731520744293
600506,香梨股份,农林牧渔,种植业,2021-04-20,2021-05-07,7.13,6.91,-0.0309,0.00732684792557074
600476,湘邮科技,计算机,IT服务,2021-04-27,2021-05-07,10.03,9.5,-0.0528,-0.0483128222399506
002248,华东数控,机械设备,通用设备,2021-04-20,2021-04-27,5.91,5.57,-0.0575,-0.0236082515345151
002693,双成药业,医药生物,生物制品,2021-04-13,2021-04-20,4.47,4.24,-0.0515,-0.0971470648559666
002199,东晶电子,电子,元件,2021-04-13,2021-04-20,6.77,6.77,0,-0.0456470648559666
600191,华资实业,农林牧渔,农产品加工,2021-04-13,2021-04-20,3.23,3.3,0.0216,-0.0240470648559666
600506,香梨股份,农林牧渔,种植业,2021-03-22,2021-04-13,8.63,8.74,0.0127,0.0294253453489594
600355,精伦电子,通信,通信设备,2021-04-06,2021-04-13,2.29,2.18,-0.048,-0.0314295155601933
000978,桂林旅游,社会服务,旅游及景区,2021-03-29,2021-04-13,5.54,5.63,0.0162,0.0219661581668341
002207,准油股份,石油石化,油服工程,2021-03-15,2021-04-06,7.15,6.27,-0.1231,-0.165112727666975
